"nr","lwage_1980","educ_1980","black_1980","hisp_1980","exper_1980","married_1980","union_1980","hours_1980","lwage_1981","educ_1981","black_1981","hisp_1981","exper_1981","married_1981","union_1981","hours_1981","lwage_1982","educ_1982","black_1982","hisp_1982","exper_1982","married_1982","union_1982","hours_1982","lwage_1983","educ_1983","black_1983","hisp_1983","exper_1983","married_1983","union_1983","hours_1983","lwage_1984","educ_1984","black_1984","hisp_1984","exper_1984","married_1984","union_1984","hours_1984","lwage_1985","educ_1985","black_1985","hisp_1985","exper_1985","married_1985","union_1985","hours_1985","lwage_1986","educ_1986","black_1986","hisp_1986","exper_1986","married_1986","union_1986","hours_1986","lwage_1987","educ_1987","black_1987","hisp_1987","exper_1987","married_1987","union_1987","hours_1987"
243,1.564181,12,0,0,4,0,0,2000,1.683546,12,0,0,5,0,0,2080,1.690503,12,0,0,6,0,0,2080,1.660872,12,0,0,7,1,0,2080,1.698051,12,0,0,8,1,0,2080,1.671768,12,0,0,9,1,0,2168,1.635718,12,0,0,10,1,0,2161,1.786971,12,0,0,11,1,0,2080
259,2.10719,12,0,0,3,1,1,1984,2.089011,12,0,0,4,1,1,2080,2.042724,12,0,0,5,1,1,1755,1.308156,12,0,0,6,1,1,3157,1.488152,12,0,0,7,1,0,2100,1.542818,12,0,0,8,1,0,2080,1.535135,12,0,0,9,1,0,2996,1.454336,12,0,0,10,1,0,3243
260,1.629912,11,0,0,2,0,1,815,1.775113,11,0,0,3,0,1,1898,1.967256,11,0,0,4,0,0,2208,2.075186,11,0,0,5,1,0,2080,2.128834,11,0,0,6,1,0,2080,2.268419,11,0,0,7,1,0,2080,1.992139,11,0,0,8,1,0,2710,2.421555,11,0,0,9,1,0,2262
309,1.786076,12,0,0,3,0,0,3560,2.280766,12,0,0,4,0,0,2780,2.264266,12,0,0,5,0,0,2500,2.275456,12,0,0,6,1,0,2400,2.208133,12,0,0,7,1,0,2690,2.199852,12,0,0,8,1,0,3070,2.2069,12,0,0,9,1,0,2915,2.476867,12,0,0,10,1,0,2670
351,1.643387,12,0,0,3,0,0,2053,1.33558,12,0,0,4,0,0,1998,1.522818,12,0,0,5,1,0,1853,1.418851,12,0,0,6,1,0,1943,0.9039274,12,0,0,7,1,0,1416,1.888564,12,0,0,8,1,0,1840,1.78345,12,0,0,9,1,0,3005,1.698008,12,0,0,10,1,0,2565
353,1.838197,12,0,0,3,0,0,2112,1.817077,12,0,0,4,0,1,2080,1.67174,12,0,0,5,0,0,2310,1.572831,12,0,0,6,0,0,2120,1.682546,12,0,0,7,0,0,2080,1.58364,12,0,0,8,0,0,2080,1.773293,12,0,0,9,0,0,2080,1.861079,12,0,0,10,0,0,2080
383,1.462888,12,1,0,2,0,0,2080,1.570217,12,1,0,3,0,0,2080,1.656602,12,1,0,4,0,1,2080,1.72541,12,1,0,5,0,0,2080,1.772159,12,1,0,6,0,0,2080,2.011084,12,1,0,7,0,0,2080,1.991017,12,1,0,8,0,0,2080,1.952051,12,1,0,9,0,0,2080
408,1.652095,11,0,0,2,0,0,2120,1.489535,11,0,0,3,1,0,2295,1.881176,11,0,0,4,1,0,2120,2.061032,11,0,0,5,1,0,2184,2.488836,11,0,0,6,1,1,2496,2.430938,11,0,0,7,1,1,2496,2.53456,11,0,0,8,1,1,1838,2.069602,11,0,0,9,1,1,3176
424,2.165839,12,0,0,5,1,0,2080,2.3254,12,0,0,6,1,0,2080,2.383651,12,0,0,7,1,0,2080,2.337212,12,0,0,8,1,0,2080,2.412508,12,0,0,9,1,0,2080,2.384146,12,0,0,10,1,0,2080,2.35203,12,0,0,11,1,0,2080,2.577757,12,0,0,12,1,0,2080
464,0.9726263,13,0,0,2,0,0,3279,1.003104,13,0,0,3,0,0,3374,1.099635,13,0,0,4,1,0,3380,1.214584,13,0,0,5,1,0,3380,1.319242,13,0,0,6,1,0,3524,1.389742,13,0,0,7,1,0,3392,1.573538,13,0,0,8,1,0,3295,1.9007,13,0,0,9,1,0,2380
483,1.682627,12,0,0,5,0,0,1645,1.661706,12,0,0,6,0,0,2050,1.755042,12,0,0,7,0,0,2080,1.753451,12,0,0,8,0,1,2080,1.618008,12,0,0,9,0,0,2080,1.648179,12,0,0,10,0,0,2080,1.745894,12,0,0,11,0,0,2080,1.727082,12,0,0,12,0,0,2265
556,1.939345,14,0,0,2,0,0,1298,2.120264,14,0,0,3,0,0,2592,2.160507,14,0,0,4,0,0,2600,2.489254,14,0,0,5,0,0,2150,2.375694,14,0,0,6,0,0,2080,2.295887,14,0,0,7,0,0,2510,2.29909,14,0,0,8,0,0,3170,2.581879,14,0,0,9,0,0,2505
560,1.386847,12,0,0,2,0,0,2000,2.127582,12,0,0,3,0,0,1906,0.9688702,12,0,0,4,0,0,1110,1.163599,12,0,0,5,0,0,2280,1.356619,12,0,0,6,0,0,1981,1.416253,12,0,0,7,0,0,2459,1.214983,12,0,0,8,0,1,3930,1.639359,12,0,0,9,0,0,3709
569,0.6837251,12,0,0,2,0,0,2680,1.078989,12,0,0,3,0,0,2230,0.8396357,12,0,0,4,0,0,2825,1.507569,12,0,0,5,0,0,2069,1.020652,12,0,0,6,0,0,2520,0.5425978,12,0,0,7,0,0,2160,0.1147163,12,0,0,8,0,0,2480,0.3128518,12,0,0,9,0,0,2795
583,1.626772,12,0,0,4,0,0,2070,1.880875,12,0,0,5,0,0,2110,1.741197,12,0,0,6,0,1,2080,2.194788,12,0,0,7,0,1,2000,2.083836,12,0,0,8,1,0,2080,1.918448,12,0,0,9,1,0,2520,2.156714,12,0,0,10,1,0,2180,1.985041,12,0,0,11,0,0,2450
647,1.396706,12,0,0,2,0,1,2080,1.519826,12,0,0,3,1,1,1960,1.509153,12,0,0,4,1,1,2200,1.645042,12,0,0,5,1,1,2208,1.549015,12,0,0,6,0,1,2080,1.826956,12,0,0,7,1,1,2120,1.88368,12,0,0,8,1,1,2215,2.023661,12,0,0,9,1,1,2273
658,1.731417,12,0,0,4,0,1,2209,1.813759,12,0,0,5,0,0,2113,1.700048,12,0,0,6,0,1,2280,1.939649,12,0,0,7,0,1,2256,1.935753,12,0,0,8,0,0,2523,2.099785,12,0,0,9,0,0,2400,2.192047,12,0,0,10,0,0,2145,2.005143,12,0,0,11,0,0,2487
684,2.821783,12,0,0,2,0,0,600,2.179983,12,0,0,3,0,0,2080,2.309427,12,0,0,4,1,0,1840,2.251321,12,0,0,5,1,0,2080,2.352297,12,0,0,6,1,0,2080,2.313848,12,0,0,7,1,0,2472,2.25342,12,0,0,8,1,0,2226,2.405353,12,0,0,9,1,0,2184
711,1.232025,11,0,0,2,0,0,1807,1.366492,11,0,0,3,0,0,2040,1.690503,11,0,0,4,0,0,2080,1.660872,11,0,0,5,0,0,2080,1.555876,11,0,0,6,0,0,2656,-0.7141256,11,0,0,7,0,0,2760,1.468481,11,0,0,8,0,0,2745,0.5130058,11,0,0,9,0,0,2860
729,1.95958,13,0,0,2,1,1,2120,1.893339,13,0,0,3,0,0,1325,3.096216,13,0,0,4,1,1,680,1.910813,13,0,0,5,1,1,1080,1.615264,13,0,0,6,1,0,2920,2.076528,13,0,0,7,1,0,2880,2.10754,13,0,0,8,1,0,3300,2.155585,13,0,0,9,1,0,3025
731,1.655639,12,0,0,4,0,0,1352,1.464256,12,0,0,5,1,0,1480,1.007828,12,0,0,6,1,0,2470,1.477949,12,0,0,7,1,0,3330,0.6187202,12,0,0,8,1,0,1130,2.225624,12,0,0,9,0,0,2700,2.657731,12,0,0,10,0,0,2600,2.139192,12,0,0,11,0,0,2250
732,1.497271,12,0,0,3,0,0,1980,1.601716,12,0,0,4,0,0,2080,1.504843,12,0,0,5,0,0,1920,1.798047,12,0,0,6,0,0,2575,1.65289,12,0,0,7,0,0,3080,1.763385,12,0,0,8,0,0,2850,1.722682,12,0,0,9,0,0,3075,1.762061,12,0,0,10,0,0,3062
793,0.8915284,14,0,0,2,0,0,1270,1.931022,14,0,0,3,0,0,1740,1.90265,14,0,0,4,0,0,2804,1.885375,14,0,0,5,0,0,2548,1.678708,14,0,0,6,0,0,3132,1.896358,14,0,0,7,0,0,2130,1.78837,14,0,0,8,0,0,2215,1.563827,14,0,0,9,0,0,2400
797,0.992524,10,0,0,3,0,0,1476,2.345145,10,0,0,4,0,1,1840,1.680934,10,0,0,5,0,1,2800,1.989654,10,0,0,6,1,0,2126,2.448014,10,0,0,7,1,1,2600,2.45018,10,0,0,8,1,1,2600,2.172239,10,0,0,9,1,1,3542,2.415984,10,0,0,10,1,1,3520
800,1.587762,11,0,0,2,0,1,2080,1.609438,11,0,0,3,0,1,2080,1.508182,11,0,0,4,0,1,2080,1.555511,11,0,0,5,0,1,2080,1.549015,11,0,0,6,0,1,2080,1.61643,11,0,0,7,0,0,2080,1.825937,11,0,0,8,1,1,2080,1.990435,11,0,0,9,1,1,2080
813,1.556213,13,0,0,2,0,0,840,0.422912,13,0,0,3,0,0,1000,0.7104341,13,0,0,4,0,0,2115,0.9317217,13,0,0,5,0,0,1725,-3.579079,13,0,0,6,0,0,1980,1.322756,13,0,0,7,0,0,1260,1.3897,13,0,0,8,0,0,1320,1.5435,13,0,0,9,0,0,1905
823,-0.3726614,10,0,0,3,0,0,492,0.6063144,10,0,0,4,0,0,1527,0.8648805,10,0,0,5,0,0,1408,0.5121712,10,0,0,6,0,0,2060,0.6839116,10,0,0,7,0,0,1780,0.9997493,10,0,0,8,0,0,2177,1.434861,10,0,0,9,0,0,2208,1.177036,10,0,0,10,0,0,1963
827,0.8836852,12,0,0,2,0,0,1280,1.424867,12,0,0,3,0,0,712,1.365904,12,0,0,4,0,0,729,1.391689,12,0,0,5,0,0,726,1.79219,12,0,0,6,0,0,2330,1.948283,12,0,0,7,0,0,2600,2.263612,12,0,0,8,1,0,2410,2.628964,12,0,0,9,1,0,2160
847,1.562728,14,1,0,1,0,1,2040,1.664498,14,1,0,2,0,1,2120,1.770546,14,1,0,3,0,0,2080,1.786035,14,1,0,4,0,0,2080,2.001,14,1,0,5,0,0,2080,1.648179,14,1,0,6,0,1,2080,2.125711,14,1,0,7,0,0,2055,1.688419,14,1,0,8,1,1,4120
851,1.875813,12,0,0,2,0,0,2080,1.956676,12,0,0,3,0,0,2080,1.867254,12,0,0,4,1,0,2080,2.174533,12,0,0,5,1,0,2080,1.914497,12,0,0,6,1,0,1806,2.017926,12,0,0,7,1,1,1976,2.117659,12,0,0,8,1,1,1976,1.977629,12,0,0,9,0,1,2336
863,1.570451,12,0,0,2,0,0,2650,1.562185,12,0,0,3,0,0,2600,1.569977,12,0,0,4,0,0,2190,1.79412,12,0,0,5,0,0,2080,1.837172,12,0,0,6,0,0,2105,1.813935,12,0,0,7,1,0,2313,2.038396,12,0,0,8,1,0,2760,1.905904,12,0,0,9,1,0,3220
873,0.5968629,10,0,0,2,0,1,1218,0.4749912,10,0,0,3,0,0,1300,1.090265,10,0,0,4,0,0,1390,1.000002,10,0,0,5,0,1,1638,0.8330531,10,0,0,6,0,1,2204,1.401281,10,0,0,7,0,1,3195,1.734129,10,0,0,8,0,1,2280,1.882872,10,0,0,9,0,1,1425
891,2.000044,12,0,0,2,0,1,2000,2.307712,12,0,0,3,1,1,1751,2.308813,12,0,0,4,1,1,2010,1.880416,12,0,0,5,0,1,1670,1.869901,12,0,0,6,1,0,3072,2.079198,12,0,0,7,1,1,3168,1.88745,12,0,0,8,1,1,3310,1.809427,12,0,0,9,0,0,3640
908,0.9975806,10,0,0,2,0,1,576,0.2309867,10,0,0,3,0,1,1016,0.4322609,10,0,0,4,0,1,976,0.9741553,10,0,0,5,0,1,496,0.5122099,10,0,0,6,0,1,1676,0.9484363,10,0,0,7,0,0,2434,1.282688,10,0,0,8,0,0,2020,1.377867,10,0,0,9,1,0,1927
910,1.865393,13,1,0,2,0,0,2080,2.13425,13,1,0,3,0,0,1420,1.040897,13,1,0,4,0,0,2310,1.761968,13,1,0,5,0,0,3008,1.919158,13,1,0,6,0,0,2360,2.257066,13,1,0,7,0,0,2475,2.111954,13,1,0,8,0,0,2404,1.892331,13,1,0,9,0,0,2928
916,1.175441,13,0,0,2,0,0,1120,1.411612,13,0,0,3,0,0,585,1.615795,13,0,0,4,0,0,1515,1.688941,13,0,0,5,0,0,2080,1.96155,13,0,0,6,0,0,2080,1.910543,13,0,0,7,0,0,2400,2.018309,13,0,0,8,0,0,2200,2.282292,13,0,0,9,0,0,2080
919,1.568009,12,0,0,3,1,0,1236,1.395864,12,0,0,4,1,1,2080,1.380348,12,0,0,5,1,1,2080,1.494423,12,0,0,6,1,1,2080,1.394864,12,0,0,7,1,1,2080,1.440539,12,0,0,8,1,1,2080,1.596362,12,0,0,9,1,1,2080,1.619917,12,0,0,10,1,1,2080
922,1.602506,12,0,0,2,0,0,1604,2.03499,12,0,0,3,0,0,2300,2.238628,12,0,0,4,0,0,2084,2.217671,12,0,0,5,0,0,2066,2.447831,12,0,0,6,0,0,2540,2.60369,12,0,0,7,0,0,2600,2.35569,12,0,0,8,0,0,3140,2.186982,12,0,0,9,1,0,3575
924,0.8535585,11,0,0,1,0,0,248,0.892167,11,0,0,2,0,0,970,0.8500413,11,0,0,3,0,0,1189,0.5909377,11,0,0,4,0,0,2136,1.202973,11,0,0,5,0,0,2520,1.554618,11,0,0,6,0,0,2284,1.802116,11,0,0,7,0,0,2294,1.69793,11,0,0,8,1,0,2332
925,2.135247,15,0,0,2,0,0,2040,2.222542,15,0,0,3,0,0,2080,2.13567,15,0,0,4,0,0,2310,2.236236,15,0,0,5,0,0,2340,2.347523,15,0,0,6,0,0,2340,2.414448,15,0,0,7,1,0,2175,0.0494449,15,0,0,8,1,0,2080,2.623219,15,0,0,9,1,0,2080
944,0.8193909,13,0,0,2,0,0,702,0.5895947,13,0,0,3,0,0,1535,1.399767,13,0,0,4,0,0,2040,1.555511,13,0,0,5,0,0,2080,1.618008,13,0,0,6,0,0,2080,1.607972,13,0,0,7,0,0,1624,1.610093,13,0,0,8,0,0,1456,1.19745,13,0,0,9,0,0,2308
945,1.039625,14,0,0,1,0,0,1721,1.359861,14,0,0,2,0,0,2300,1.260502,14,0,0,3,0,0,2558,1.32271,14,0,0,4,0,0,2528,1.718772,14,0,0,5,0,0,2006,1.310399,14,0,0,6,0,0,3827,1.411625,14,0,0,7,0,0,3406,1.386204,14,0,0,8,0,0,3185
947,2.236457,13,0,0,3,0,1,2080,2.376693,13,0,0,4,0,1,2080,2.386539,13,0,0,5,1,1,2074,2.384628,13,0,0,6,1,0,2488,2.400285,13,0,0,7,1,0,2410,2.471379,13,0,0,8,1,0,2340,2.2641,13,0,0,9,1,0,2340,2.282292,13,0,0,10,1,0,2340
955,2.070805,12,0,0,4,0,1,2120,1.988927,12,0,0,5,0,1,2080,1.978185,12,0,0,6,0,1,2080,2.088315,12,0,0,7,0,1,2080,2.128834,12,0,0,8,0,1,2080,2.207794,12,0,0,9,0,1,2080,2.475409,12,0,0,10,0,1,1560,2.217754,12,0,0,11,0,1,2080
965,1.41754,12,0,0,5,0,0,2080,1.478102,12,0,0,6,0,0,2080,1.384884,12,0,0,7,0,0,2080,1.517771,12,0,0,8,0,0,2080,1.427654,12,0,0,9,1,0,2080,1.440539,12,0,0,10,1,0,2080,1.420472,12,0,0,11,1,0,2080,1.381506,12,0,0,12,1,0,2080
996,1.557643,11,0,0,2,1,0,3728,1.482438,11,0,0,3,1,0,3270,1.244216,11,0,0,4,1,0,2600,0.7208267,11,0,0,5,1,0,2840,0.8070776,11,0,0,6,1,0,3120,0.823104,11,0,0,7,1,0,3560,1.109036,11,0,0,8,1,0,2840,2.238644,11,0,0,9,1,0,2716
1007,1.448,12,0,0,4,0,0,2080,1.752539,12,0,0,5,0,0,2080,1.547403,12,0,0,6,0,0,2080,2.043864,12,0,0,7,0,0,2080,2.152144,12,0,0,8,0,0,2154,2.267218,12,0,0,9,0,0,2100,2.747343,12,0,0,10,1,0,2080,2.57718,12,0,0,11,1,0,2420
1054,0.7246637,10,0,0,3,0,0,3430,1.794263,10,0,0,4,0,0,1995,1.161928,10,0,0,5,0,0,1882,1.4596,10,0,0,6,1,0,2035,1.02822,10,0,0,7,1,0,2501,1.303338,10,0,0,8,1,0,3120,1.649885,10,0,0,9,1,0,2544,1.309185,10,0,0,10,1,1,1720
1064,1.903118,12,0,0,4,1,0,2530,2.021071,12,0,0,5,1,0,2224,1.895428,12,0,0,6,1,0,2090,2.122507,12,0,0,7,1,0,2080,1.880372,12,0,0,8,1,0,2080,1.992477,12,0,0,9,1,0,2080,1.964025,12,0,0,10,1,0,2420,1.929471,12,0,0,11,1,0,2220
1081,1.087997,10,0,0,2,0,0,1118,1.249145,10,0,0,3,0,0,1147,1.547403,10,0,0,4,0,0,832,1.351703,10,0,0,5,0,0,1488,1.426117,10,0,0,6,0,0,2016,1.056601,10,0,0,7,0,0,3171,1.264223,10,0,0,8,0,0,3180,2.00001,10,0,0,9,0,0,2155
1085,1.887124,12,0,0,1,0,0,1743,1.481521,12,0,0,2,0,0,2182,1.217642,12,0,0,3,0,0,2743,0.7375861,12,0,0,4,0,0,3491,1.288773,12,0,0,5,1,0,2891,1.073506,12,0,0,6,1,0,2340,1.317172,12,0,0,7,1,0,3016,2.01705,12,0,0,8,0,0,3305
1091,1.111003,9,0,0,6,0,1,2591,1.162093,9,0,0,7,1,0,2600,1.061895,9,0,0,8,1,1,2600,1.127573,9,0,0,9,1,0,2600,1.18918,9,0,0,10,1,0,2555,1.222795,9,0,0,11,1,1,2586,1.164667,9,0,0,12,1,0,2583,1.395895,9,0,0,13,1,0,2208
1094,1.342639,12,0,0,3,1,0,2080,1.406497,12,0,0,4,1,0,1960,1.529703,12,0,0,5,1,0,2280,1.757597,12,0,0,6,1,0,2140,1.90569,12,0,0,7,1,0,2080,1.966232,12,0,0,8,1,0,2270,2.140417,12,0,0,9,1,0,2025,2.175559,12,0,0,10,1,0,2025
1096,1.264077,11,0,0,6,0,0,3000,1.278081,11,0,0,7,0,0,3120,0.999763,11,0,0,8,0,0,3320,0.9654241,11,0,0,9,0,0,3180,1.02862,11,0,0,10,0,0,3500,1.012998,11,0,0,11,0,0,3435,1.28434,11,0,0,12,1,0,2750,1.408174,11,0,0,13,1,1,2960
1098,1.551968,14,0,0,1,0,0,1495,2.128232,14,0,0,2,0,0,1000,2.757776,14,0,0,3,0,0,456,1.509607,14,0,0,4,0,0,1968,1.933386,14,0,0,5,0,0,1920,2.277676,14,0,0,6,0,0,1560,2.265224,14,0,0,7,0,0,2248,2.282759,14,0,0,8,1,0,2144
1102,0.8810845,13,0,0,3,0,0,660,2.040221,13,0,0,4,0,0,1820,1.833003,13,0,0,5,0,0,2405,1.7742,13,0,0,6,0,0,2600,1.822308,13,0,0,7,0,0,2600,2.657274,13,0,0,8,0,0,2180,2.774627,13,0,0,9,0,0,2561,2.851786,13,0,0,10,0,0,2648
1107,1.54331,12,0,0,5,0,0,2080,1.570217,12,0,0,6,1,0,2080,1.656602,12,0,0,7,1,0,2080,1.660872,12,0,0,8,1,0,2080,2.001,12,0,0,9,1,0,2080,1.871322,12,0,0,10,1,0,2080,1.890475,12,0,0,11,1,0,2080,2.035432,12,0,0,12,1,0,2080
1142,1.413112,14,0,1,2,0,0,1400,1.667773,14,0,1,3,0,0,2264,1.922096,14,0,1,4,0,0,2310,1.741374,14,0,1,5,0,0,2175,2.01105,14,0,1,6,0,0,2340,2.223543,14,0,1,7,1,0,2340,2.088562,14,0,1,8,1,0,2748,2.341308,14,0,1,9,1,0,2451
1156,1.302818,12,1,0,5,0,0,1924,1.330724,12,1,0,6,0,0,1924,1.299566,12,1,0,7,0,0,2050,1.631099,12,1,0,8,0,0,2000,1.659153,12,1,0,9,0,0,1730,1.648179,12,1,0,10,0,0,1820,1.554003,12,1,0,11,0,0,1960,1.933748,12,1,0,12,0,0,1750
1180,1.853465,13,0,0,2,0,0,2080,1.609438,13,0,0,3,0,0,2080,1.690503,13,0,0,4,0,1,2080,1.537495,13,0,0,5,0,1,2510,2.041054,13,0,0,6,1,0,2180,1.920112,13,0,0,7,1,0,2080,2.113619,13,0,0,8,1,0,2080,2.217754,13,0,0,9,1,0,2080
1190,1.510343,12,1,0,2,0,0,1368,1.510857,12,1,0,3,0,0,1960,1.061895,12,1,0,4,0,0,2080,1.350717,12,1,0,5,0,0,2080,1.216045,12,1,0,6,0,0,2280,1.173911,12,1,0,7,0,0,1880,1.340429,12,1,0,8,0,0,2080,1.381506,12,1,0,9,1,0,2080
1204,1.622382,8,0,0,5,0,0,2160,1.752539,8,0,0,6,0,1,2080,1.934756,8,0,0,7,0,1,2080,1.778595,8,0,0,8,0,1,2080,1.868611,8,0,0,9,0,1,2080,2.011084,8,0,0,10,0,1,2080,2.251372,8,0,0,11,0,1,2080,2.250544,8,0,0,12,0,1,2080
1249,1.530747,11,0,0,5,0,0,2585,1.339993,11,0,0,6,1,0,3050,1.659569,11,0,0,7,0,0,2460,1.383423,11,0,0,8,1,0,2800,1.511506,11,0,0,9,1,0,3085,1.425035,11,0,0,10,0,0,2925,1.44396,11,0,0,11,1,0,2188,1.444379,11,0,0,12,0,0,2404
1272,1.750866,12,0,0,3,1,0,1560,1.832376,12,0,0,4,0,0,1560,1.755042,12,0,0,5,0,1,1560,1.782105,12,0,0,6,0,0,1560,1.721767,12,0,0,7,0,0,2020,1.733311,12,0,0,8,0,1,2203,1.764682,12,0,0,9,1,0,2104,1.907599,12,0,0,10,1,0,2080
1311,0.5567801,15,0,0,2,0,0,4057,1.554713,15,0,0,3,0,0,4732,1.686834,15,0,0,4,0,0,4732,1.644793,15,0,0,5,0,0,4932,2.21279,15,0,0,6,0,0,3060,1.894877,15,0,0,7,0,0,3860,1.791083,15,0,0,8,0,0,4418,2.058709,15,0,0,9,0,0,2845
1316,1.54331,8,0,0,4,0,0,2080,1.689481,8,0,0,5,0,0,1920,1.877644,8,0,0,6,1,0,1840,2.589254,8,0,0,7,1,0,2055,2.738599,8,0,0,8,1,0,2080,1.861753,8,0,0,9,1,0,2310,1.911142,8,0,0,10,1,0,2155,1.907599,8,0,0,11,1,0,2080
